SENS,JOUR,HEURE/MINUTE,SECONDE/CENTIEME,VITESSE,SER,TYPE
2,3,1519,3220,V=033,S=0421,VL
2,3,1519,3718,V=039,S=0427,VL
2,3,1520,597,V=041,S=0391,VL
2,3,1520,1296,V=040,S=0494,VL
2,3,1520,1653,V=044,S=0429,VL
2,3,1520,1997,V=038,S=0206,VL
2,3,1520,2483,V=041,S=0415,VL
2,3,1520,2676,V=040,S=0445,VL
2,3,1520,4589,V=045,S=0430,VL
2,3,1520,5424,V=038,S=0380,VL
2,3,1521,110,V=038,S=0417,VL
2,3,1522,1357,V=037,S=0485,VL
2,3,1522,3461,V=020,S=0413,VL
2,3,1522,4922,V=044,S=0467,VL
2,3,1523,2144,V=019,S=0293,VL
2,3,1523,2555,V=020,S=2089,PL
2,3,1523,2724,V=022,S=0417,VL
2,3,1523,3113,V=021,S=0450,VL
2,3,1523,3447,V=020,S=0413,VL
2,3,1523,4212,V=024,S=0501,VL
2,3,1523,5582,V=037,S=0654,VL
2,3,1523,5868,V=031,S=0375,VL
2,3,1524,776,V=037,S=0544,VL
2,3,1524,2995,V=028,S=0824,PL
2,3,1524,3203,V=030,S=1382,PL
2,3,1524,3249,V=029,S=0319,VL
2,3,1524,3477,V=032,S=0506,VL
2,3,1524,5710,V=033,S=0469,VL
2,3,1524,5872,V=034,S=0396,VL
2,3,1525,1977,V=035,S=0442,VL
2,3,1525,2503,V=039,S=0514,VL
2,3,1525,4477,V=026,S=0435,VL
2,3,1526,968,V=056,S=0482,VL
2,3,1526,2712,V=052,S=0202,VL
2,3,1526,4392,V=030,S=0497,VL
2,3,1526,4651,V=036,S=0457,VL
2,3,1526,5951,V=047,S=0497,VL
2,3,1527,82,V=050,S=0431,VL
2,3,1527,1409,V=043,S=0492,VL
2,3,1527,2749,V=037,S=0390,VL
2,3,1527,3474,V=043,S=0435,VL
2,3,1527,4072,V=040,S=0505,VL
2,3,1527,4509,V=044,S=0740,VL
2,3,1527,4691,V=043,S=0257,VL
2,3,1527,5238,V=038,S=0437,VL
2,3,1527,5503,V=040,S=0406,VL
2,3,1528,422,V=036,S=0427,VL
2,3,1528,635,V=035,S=0408,VL
2,3,1528,2736,V=047,S=0421,VL
2,3,1528,3804,V=034,S=0478,VL
2,3,1528,5444,V=029,S=0469,VL
2,3,1528,5768,V=032,S=0427,VL
2,3,1528,5953,V=033,S=0443,VL
2,3,1529,336,V=039,S=0475,VL
2,3,1529,494,V=041,S=0406,VL
2,3,1529,2265,V=038,S=0678,VL
2,3,1529,3399,V=039,S=0670,VL
2,3,1529,3535,V=038,S=0487,VL
2,3,1529,3715,V=040,S=0793,PL
2,3,1529,4282,V=037,S=0626,VL
2,3,1529,4994,V=038,S=0621,VL
2,3,1529,5381,V=042,S=0441,VL
2,3,1530,1366,V=037,S=0526,VL
2,3,1530,5360,V=030,S=0532,VL
2,3,1530,5479,V=030,S=0466,VL
2,3,1530,5716,V=029,S=0488,VL
2,3,1531,20,V=042,S=0496,VL
2,3,1531,3897,V=045,S=0467,VL
2,3,1531,4154,V=045,S=0514,VL
2,3,1531,5824,V=034,S=0411,VL
2,3,1532,315,V=041,S=0234,VL
2,3,1532,1070,V=036,S=0463,VL
2,3,1532,1452,V=037,S=0455,VL
2,3,1532,1602,V=035,S=0514,VL
2,3,1532,1823,V=038,S=0381,VL
2,3,1532,2531,V=042,S=0422,VL
2,3,1532,3887,V=035,S=0380,VL
2,3,1532,4100,V=037,S=0410,VL
2,3,1532,4356,V=036,S=0421,VL
2,3,1532,4522,V=031,S=0202,VL
2,3,1532,5452,V=038,S=0471,VL
2,3,1533,1806,V=039,S=0392,VL
2,3,1533,3289,V=043,S=0309,VL
2,3,1533,3493,V=038,S=0281,VL
2,3,1533,4373,V=030,S=0517,VL
2,3,1533,4530,V=030,S=0482,VL
2,3,1533,4729,V=028,S=0428,VL
2,3,1533,5550,V=034,S=0185,2R
2,3,1534,827,V=032,S=0417,VL
2,3,1534,2176,V=041,S=0464,VL
2,3,1534,3532,V=045,S=0456,VL
2,3,1534,4342,V=034,S=0404,VL
2,3,1534,4642,V=032,S=0436,VL
2,3,1535,1217,V=034,S=0354,VL
2,3,1535,2195,V=038,S=0440,VL
2,3,1535,3072,V=037,S=0351,VL
2,3,1535,3292,V=036,S=0483,VL
2,3,1535,5035,V=035,S=0412,VL
2,3,1536,722,V=030,S=0410,VL
2,3,1536,833,V=031,S=0437,VL
2,3,1536,1137,V=028,S=0387,VL
2,3,1536,1300,V=026,S=0191,2R
2,3,1536,2446,V=034,S=0523,VL
2,3,1536,2712,V=035,S=0494,VL
2,3,1536,3680,V=031,S=0444,VL
2,3,1536,4139,V=037,S=0548,VL
2,3,1536,5125,V=027,S=0452,VL
2,3,1536,5284,V=027,S=0545,VL
2,3,1536,5471,V=029,S=0545,VL
2,3,1537,34,V=030,S=0685,VL
2,3,1537,347,V=030,S=0486,VL
2,3,1537,2565,V=040,S=0453,VL
2,3,1537,4022,V=030,S=0669,VL
2,3,1537,4193,V=030,S=0381,VL
2,3,1537,4394,V=032,S=0430,VL
2,3,1537,5887,V=037,S=0497,VL
2,3,1538,877,V=039,S=0401,VL
