ID,Catégorie,Horodate,Entrant,Sortant
552,VL,2022/10/04 12:30:46.845,,x
557,VL,2022/10/04 12:30:49.445,,x
100166,VELO,2022/10/04 12:31:06.248,,x
100168,UT,2022/10/04 12:31:27.979,x,
580,VELO,2022/10/04 12:31:43.312,,x
584,VL,2022/10/04 12:32:03.046,,x
589,VL,2022/10/04 12:32:15.848,,x
590,VL,2022/10/04 12:33:07.915,,x
600,VL,2022/10/04 12:34:00.579,,x
100171,VL,2022/10/04 12:34:05.646,x,
602,VELO,2022/10/04 12:34:23.312,x,
603,VELO,2022/10/04 12:34:36.911,,x
604,VELO,2022/10/04 12:34:45.779,,x
608,VELO,2022/10/04 12:35:40.977,x,
611,VL,2022/10/04 12:35:49.445,,x
100184,VELO,2022/10/04 12:36:49.710,x,
100187,VELO,2022/10/04 12:37:16.043,,x
100188,VL,2022/10/04 12:37:23.443,x,
677,VL,2022/10/04 12:37:46.710,,x
100189,VELO,2022/10/04 12:38:21.909,x,
678,VELO,2022/10/04 12:38:24.911,,x
694,VELO,2022/10/04 12:39:56.108,,x
699,VELO,2022/10/04 12:40:52.909,,x
712,VL,2022/10/04 12:41:03.574,,x
100201,VL,2022/10/04 12:41:12.174,x,
721,VL,2022/10/04 12:42:05.108,,x
724,VL,2022/10/04 12:42:09.043,,x
728,VL,2022/10/04 12:43:00.841,,x
729,VELO,2022/10/04 12:43:19.773,,x
732,VL,2022/10/04 12:43:30.440,,x
741,VELO,2022/10/04 12:43:36.974,x,
755,VL,2022/10/04 12:44:24.574,,x
757,VELO,2022/10/04 12:44:34.037,x,
758,VELO,2022/10/04 12:44:50.440,,x
100231,VL,2022/10/04 12:44:56.640,x,
760,VL,2022/10/04 12:45:15.374,,x
767,VELO,2022/10/04 12:46:01.371,,x
100238,VELO,2022/10/04 12:47:11.504,x,
100241,VL,2022/10/04 12:49:11.768,x,
819,VL,2022/10/04 12:49:43.104,,x
829,VL,2022/10/04 12:50:00.302,,x
100267,VELO,2022/10/04 12:50:49.969,x,
833,VELO,2022/10/04 12:51:04.569,,x
834,VELO,2022/10/04 12:51:06.835,,x
100271,VELO,2022/10/04 12:51:27.970,,x
100284,EDPM,2022/10/04 12:53:17.201,x,
100285,VL,2022/10/04 12:55:23.867,x,
859,VELO,2022/10/04 12:55:45.898,,x
863,VELO,2022/10/04 12:56:48.265,,x
864,VELO,2022/10/04 12:56:54.200,,x
865,VELO,2022/10/04 12:57:19.898,,x
100295,VL,2022/10/04 12:57:29.831,x,
100302,VELO,2022/10/04 12:58:29.731,x,
100303,VL,2022/10/04 12:58:29.931,x,
887,VELO,2022/10/04 12:59:16.196,x,
888,VL,2022/10/04 12:59:28.330,,x
889,VELO,2022/10/04 12:59:47.330,,x
100311,EDPM,2022/10/04 12:59:53.662,x,
891,VL,2022/10/04 13:00:02.727,,x
100315,VELO,2022/10/04 13:00:54.195,,x
893,VL,2022/10/04 13:01:15.263,,x
100324,VELO,2022/10/04 13:02:47.663,x,
913,VELO,2022/10/04 13:03:33.928,x,
917,VELO,2022/10/04 13:03:34.528,x,
100328,VELO,2022/10/04 13:05:16.394,,x
100334,VELO,2022/10/04 13:05:20.527,,x
100336,VELO,2022/10/04 13:05:26.862,x,
100338,VL,2022/10/04 13:05:34.393,x,
100339,VL,2022/10/04 13:05:42.126,x,
959,VL,2022/10/04 13:05:55.926,,x
964,VELO,2022/10/04 13:06:20.125,,x
100359,VELO,2022/10/04 13:06:35.126,x,
100377,VELO,2022/10/04 13:07:33.459,x,
100380,VL,2022/10/04 13:08:17.591,x,
992,VELO,2022/10/04 13:09:27.258,x,
100386,VELO,2022/10/04 13:09:43.723,x,
998,VELO,2022/10/04 13:10:05.523,,x
100387,VELO,2022/10/04 13:10:07.723,x,
100388,VELO,2022/10/04 13:10:10.591,x,
1004,VL,2022/10/04 13:10:25.857,,x
100392,VL,2022/10/04 13:10:28.725,x,
100395,VELO,2022/10/04 13:10:47.592,x,
100396,VL,2022/10/04 13:11:27.925,x,
100397,VL,2022/10/04 13:12:37.788,x,
1014,VL,2022/10/04 13:13:00.323,,x
100402,VL,2022/10/04 13:14:22.187,x,
100403,VL,2022/10/04 13:15:36.920,x,
