SENS,JOUR,HEURE/MINUTE,SECONDE/CENTIEME,VITESSE,SER,TYPE
1,3,1452,2625,V=037,S=0662,VL
1,3,1453,1640,V=046,S=0240,VL
1,3,1453,1736,V=045,S=0429,VL
1,3,1453,2503,V=043,S=0493,VL
1,3,1453,4261,V=029,S=0349,VL
1,3,1453,5027,V=037,S=1535,PL
1,3,1454,1478,V=057,S=0566,VL
1,3,1454,2009,V=051,S=0550,VL
1,3,1454,2683,V=051,S=0491,VL
1,3,1454,5365,V=029,S=0197,VL
1,3,1454,5547,V=024,S=0446,VL
1,3,1455,4563,V=057,S=0513,VL
1,3,1455,4876,V=054,S=0440,VL
1,3,1455,5366,V=045,S=0571,VL
1,3,1456,182,V=040,S=0412,VL
1,3,1456,437,V=039,S=0473,VL
1,3,1456,735,V=043,S=1054,PL
1,3,1456,922,V=044,S=0398,VL
1,3,1456,1099,V=047,S=0540,VL
1,3,1456,1227,V=045,S=0243,VL
1,3,1456,1653,V=042,S=0448,VL
1,3,1456,3310,V=049,S=0793,VL
1,3,1456,5025,V=035,S=0368,VL
1,3,1456,5152,V=039,S=0499,VL
1,3,1456,5335,V=036,S=0578,VL
1,3,1456,5500,V=036,S=0478,VL
1,3,1456,5770,V=035,S=0489,VL
1,3,1457,239,V=036,S=0583,VL
1,3,1457,2097,V=044,S=0522,VL
1,3,1457,2280,V=043,S=0406,VL
1,3,1457,2514,V=044,S=0276,VL
1,3,1457,2690,V=044,S=0458,VL
1,3,1457,3234,V=037,S=0440,VL
1,3,1457,3558,V=036,S=0528,VL
1,3,1457,4164,V=042,S=0465,VL
1,3,1457,4332,V=042,S=0631,VL
1,3,1457,4619,V=043,S=0533,VL
1,3,1457,4719,V=040,S=0493,VL
1,3,1457,5579,V=054,S=0504,VL
1,3,1458,990,V=036,S=0499,VL
1,3,1458,1515,V=043,S=0577,VL
1,3,1458,3007,V=052,S=0785,VL
1,3,1458,5890,V=049,S=0735,VL
1,3,1459,407,V=042,S=0544,VL
1,3,1459,924,V=044,S=0529,VL
1,3,1459,1146,V=042,S=0716,VL
1,3,1459,1418,V=038,S=0589,VL
1,3,1459,1676,V=041,S=0472,VL
1,3,1459,2210,V=037,S=0473,VL
1,3,1459,2397,V=037,S=0487,VL
1,3,1459,2512,V=036,S=0482,VL
1,3,1459,2807,V=044,S=0518,VL
1,3,1459,3784,V=045,S=0508,VL
1,3,1459,4266,V=052,S=0484,VL
1,3,1459,4818,V=044,S=0537,VL
1,3,1459,4973,V=043,S=0540,VL
1,3,1500,0,V=042,S=0690,VL
1,3,1500,139,V=041,S=0438,VL
1,3,1500,500,V=039,S=0465,VL
1,3,1500,639,V=037,S=0317,VL
1,3,1500,781,V=037,S=0557,VL
1,3,1500,1520,V=041,S=0457,VL
1,3,1500,2093,V=053,S=0541,VL
1,3,1500,2581,V=055,S=0702,VL
1,3,1500,3605,V=043,S=0559,VL
1,3,1500,4945,V=057,S=0702,VL
1,3,1501,5774,V=049,S=0460,VL
1,3,1502,3377,V=040,S=0477,VL
1,3,1502,3853,V=040,S=0465,VL
1,3,1502,4264,V=045,S=0480,VL
1,3,1502,4632,V=051,S=0479,VL
1,3,1503,2260,V=042,S=0572,VL
1,3,1503,2508,V=044,S=0501,VL
1,3,1503,2872,V=047,S=0277,VL
1,3,1503,3220,V=044,S=0344,VL
1,3,1503,3370,V=043,S=0599,VL
1,3,1503,3919,V=042,S=0474,VL
1,3,1503,3943,V=042,S=0205,VL
1,3,1503,4059,V=039,S=0561,VL
1,3,1503,5681,V=049,S=0419,VL
1,3,1504,171,V=052,S=0631,VL
1,3,1504,3845,V=054,S=0576,VL
1,3,1504,4264,V=053,S=0502,VL
1,3,1504,4737,V=046,S=0509,VL
1,3,1504,5283,V=058,S=0584,VL
1,3,1504,5701,V=055,S=0789,VL
1,3,1505,16,V=051,S=0515,VL
1,3,1505,668,V=035,S=0557,VL
1,3,1505,1446,V=056,S=0763,VL
1,3,1505,1894,V=050,S=0435,VL
1,3,1505,2220,V=046,S=0451,VL
1,3,1505,3840,V=041,S=0460,VL
1,3,1505,4349,V=042,S=0410,VL
1,3,1505,4372,V=041,S=0213,VL
1,3,1506,1951,V=046,S=0464,VL
1,3,1506,2192,V=045,S=0464,VL
1,3,1506,2569,V=055,S=0521,VL
1,3,1506,5452,V=044,S=0555,VL
1,3,1506,5611,V=045,S=0472,VL
1,3,1507,1576,V=041,S=0444,VL
1,3,1507,2118,V=046,S=0557,VL
1,3,1507,3199,V=049,S=0568,VL
1,3,1507,4103,V=042,S=0590,VL
1,3,1508,2220,V=052,S=0755,VL
1,3,1508,2390,V=047,S=0599,VL
1,3,1508,2617,V=045,S=0480,VL
1,3,1508,4462,V=047,S=0507,VL
1,3,1508,4666,V=045,S=0639,VL
1,3,1508,5245,V=044,S=0587,VL
1,3,1508,5544,V=031,S=0456,VL
1,3,1509,1174,V=054,S=0507,VL
1,3,1509,1648,V=047,S=0490,VL
1,3,1509,2384,V=045,S=0582,VL
1,3,1509,2556,V=051,S=0519,VL
1,3,1509,3019,V=045,S=0484,VL
1,3,1509,3312,V=042,S=0505,VL
1,3,1509,3595,V=045,S=0492,VL
1,3,1509,4537,V=039,S=0682,VL
1,3,1509,4695,V=043,S=0625,VL
1,3,1510,1086,V=045,S=0346,VL
1,3,1510,1215,V=045,S=0470,VL
1,3,1510,1484,V=047,S=0548,VL
1,3,1510,2207,V=044,S=0655,VL
1,3,1510,2741,V=047,S=0470,VL
1,3,1510,5561,V=039,S=0512,VL
1,3,1510,5857,V=037,S=0429,VL
1,3,1511,354,V=035,S=0484,VL
1,3,1511,4850,V=050,S=0533,VL
1,3,1512,2567,V=050,S=0462,VL
1,3,1512,2993,V=043,S=0523,VL
1,3,1512,4970,V=045,S=0559,VL
1,3,1512,5150,V=043,S=0541,VL
1,3,1512,5293,V=044,S=0457,VL
1,3,1513,3321,V=040,S=0519,VL
1,3,1513,3672,V=039,S=0490,VL
1,3,1513,3799,V=041,S=0442,VL
1,3,1513,4426,V=041,S=0393,VL
1,3,1514,1174,V=051,S=0460,VL
1,3,1514,1530,V=052,S=0477,VL
1,3,1514,1881,V=049,S=0687,VL
1,3,1514,2666,V=041,S=0329,VL
1,3,1514,3046,V=049,S=0531,VL
1,3,1514,3923,V=035,S=0728,VL
1,3,1514,5767,V=041,S=0538,VL
1,3,1515,443,V=043,S=0434,VL
1,3,1515,3602,V=033,S=0645,VL
1,3,1515,3749,V=032,S=0482,VL
1,3,1515,3899,V=033,S=0500,VL
1,3,1515,4052,V=034,S=0221,VL
1,3,1515,4136,V=035,S=0165,2R
1,3,1515,4291,V=034,S=0589,VL
1,3,1515,4860,V=042,S=0550,VL
1,3,1515,5060,V=042,S=0440,VL
1,3,1516,380,V=047,S=0901,PL
1,3,1516,679,V=045,S=0548,VL
1,3,1516,805,V=042,S=0502,VL
1,3,1516,5210,V=052,S=0518,VL
1,3,1516,5501,V=053,S=0477,VL
1,3,1517,1160,V=046,S=0444,VL
1,3,1517,1649,V=046,S=0451,VL
1,3,1517,2826,V=042,S=0593,VL
1,3,1517,2988,V=039,S=0753,VL
1,3,1517,3155,V=038,S=0571,VL
1,3,1517,3380,V=047,S=0464,VL
1,3,1517,5743,V=046,S=0324,VL
1,3,1518,4877,V=046,S=0526,VL
1,3,1518,5032,V=043,S=0554,VL
1,3,1519,6,V=043,S=0445,VL
1,3,1519,1056,V=043,S=0474,VL
1,3,1519,2733,V=043,S=0763,VL
1,3,1519,2948,V=042,S=0551,VL
1,3,1519,3104,V=044,S=0538,VL
1,3,1519,5342,V=027,S=0601,VL
1,3,1520,71,V=026,S=0372,VL
1,3,1520,334,V=024,S=0392,VL
1,3,1520,514,V=035,S=0432,VL
1,3,1520,1320,V=047,S=0525,VL
1,3,1520,1961,V=055,S=0450,VL
1,3,1521,537,V=051,S=0626,VL
1,3,1521,770,V=051,S=0570,VL
1,3,1521,1021,V=047,S=0469,VL
1,3,1521,1229,V=049,S=0486,VL
1,3,1521,1894,V=038,S=0275,VL
1,3,1521,2778,V=059,S=0506,VL
1,3,1521,3891,V=047,S=0494,VL
1,3,1521,4118,V=044,S=0487,VL
1,3,1521,4831,V=047,S=0714,VL
1,3,1522,2527,V=047,S=0594,VL
1,3,1522,2868,V=043,S=0506,VL
1,3,1522,2887,V=043,S=0189,VL
1,3,1522,3009,V=041,S=0497,VL
1,3,1522,3326,V=042,S=0407,VL
1,3,1522,3610,V=042,S=0598,VL
1,3,1522,3881,V=042,S=0524,VL
1,3,1522,4026,V=046,S=0315,VL
1,3,1522,4880,V=065,S=0358,VL
1,3,1523,5597,V=052,S=0561,VL
1,3,1523,5833,V=050,S=0439,VL
1,3,1524,25,V=045,S=0478,VL
1,3,1524,265,V=045,S=0540,VL
1,3,1524,921,V=050,S=0577,VL
1,3,1524,4318,V=052,S=0539,VL
1,3,1525,1920,V=053,S=0364,VL
1,3,1525,3409,V=032,S=0611,VL
1,3,1525,5590,V=042,S=0570,VL
1,3,1525,5949,V=048,S=0486,VL
1,3,1526,121,V=044,S=0492,VL
1,3,1526,288,V=046,S=0435,VL
1,3,1526,5782,V=055,S=0476,VL
1,3,1527,1458,V=041,S=0479,VL
1,3,1527,1617,V=043,S=0548,VL
1,3,1527,2126,V=045,S=0592,VL
1,3,1527,2469,V=043,S=0529,VL
1,3,1527,2684,V=046,S=0449,VL
1,3,1527,2896,V=052,S=0534,VL
1,3,1527,5130,V=035,S=0194,VL
1,3,1527,5167,V=034,S=0267,VL
1,3,1527,5968,V=044,S=0509,VL
1,3,1528,556,V=043,S=0323,VL
1,3,1528,3076,V=044,S=0592,VL
1,3,1528,3234,V=042,S=0398,VL
1,3,1528,3619,V=048,S=0487,VL
1,3,1528,3724,V=051,S=0428,VL
1,3,1529,619,V=043,S=0521,VL
1,3,1529,1806,V=039,S=0514,VL
1,3,1529,3863,V=050,S=0499,VL
1,3,1529,4398,V=044,S=0531,VL
1,3,1530,2680,V=034,S=0426,VL
1,3,1530,2793,V=034,S=0540,VL
1,3,1530,3159,V=041,S=0538,VL
1,3,1530,3392,V=039,S=0497,VL
1,3,1530,3734,V=038,S=0596,VL
1,3,1530,4283,V=047,S=0748,VL
1,3,1530,4463,V=051,S=0535,VL
1,3,1530,4842,V=043,S=0474,VL
1,3,1530,5052,V=044,S=0438,VL
1,3,1531,2870,V=047,S=0529,VL
1,3,1532,420,V=049,S=0815,VL
1,3,1532,686,V=046,S=0489,VL
1,3,1532,2711,V=052,S=0469,VL
1,3,1532,2893,V=053,S=0557,VL
1,3,1532,3978,V=042,S=0532,VL
1,3,1533,3549,V=023,S=1336,PL
1,3,1533,3702,V=018,S=0501,VL
1,3,1533,3860,V=019,S=0507,VL
1,3,1533,4062,V=019,S=0606,VL
1,3,1533,4232,V=019,S=0453,VL
1,3,1533,4488,V=021,S=0360,VL
1,3,1533,4804,V=028,S=0693,VL
1,3,1533,5177,V=024,S=0551,VL
1,3,1533,5350,V=022,S=0412,VL
1,3,1533,5545,V=016,S=0307,VL
1,3,1534,158,V=010,S=0223,VL
1,3,1534,963,V=012,S=0163,2R
1,3,1534,1287,V=014,S=0155,2R
1,3,1534,1484,V=015,S=0298,VL
1,3,1534,1852,V=013,S=0335,VL
1,3,1534,2108,V=015,S=0309,VL
1,3,1534,2287,V=015,S=0322,VL
1,3,1534,2639,V=015,S=0409,VL
1,3,1534,5470,V=041,S=0572,VL
1,3,1534,5962,V=042,S=0613,VL
1,3,1535,3178,V=040,S=0583,VL
1,3,1535,3663,V=026,S=0548,VL
1,3,1535,4119,V=021,S=0635,VL
1,3,1535,5326,V=027,S=0468,VL
1,3,1536,3519,V=048,S=0495,VL
1,3,1536,4131,V=051,S=0491,VL
1,3,1537,2409,V=038,S=0574,VL
1,3,1537,3026,V=043,S=0605,VL
1,3,1537,3249,V=044,S=0513,VL
1,3,1537,4207,V=048,S=0593,VL
1,3,1537,4925,V=022,S=0578,VL
1,3,1537,5296,V=013,S=0312,VL
1,3,1538,803,V=046,S=0404,VL
1,3,1538,1156,V=041,S=0471,VL
1,3,1538,1477,V=042,S=0505,VL
1,3,1538,2003,V=030,S=0586,VL
1,3,1538,2757,V=049,S=0453,VL
1,3,1538,4220,V=055,S=0565,VL
1,3,1538,5420,V=037,S=0335,VL
1,3,1539,377,V=047,S=0766,VL
1,3,1539,509,V=043,S=0506,VL
1,3,1539,5427,V=038,S=0479,VL
1,3,1539,5540,V=039,S=0391,VL
1,3,1540,5083,V=041,S=0453,VL
1,3,1540,5653,V=043,S=0502,VL
1,3,1540,5858,V=043,S=0513,VL
1,3,1541,309,V=050,S=0456,VL
1,3,1541,724,V=048,S=0566,VL
1,3,1541,2271,V=036,S=0422,VL
1,3,1541,2408,V=035,S=0493,VL
1,3,1541,2793,V=030,S=0490,VL
1,3,1541,3655,V=043,S=0487,VL
1,3,1541,5187,V=042,S=0212,VL
1,3,1541,5204,V=044,S=0169,2R
1,3,1543,560,V=040,S=0738,VL
1,3,1543,1031,V=040,S=0733,VL
1,3,1543,1200,V=041,S=0600,VL
1,3,1543,1541,V=042,S=0498,VL
1,3,1543,2228,V=031,S=0532,VL
1,3,1543,2826,V=033,S=0492,VL
1,3,1543,4108,V=042,S=0503,VL
1,3,1543,4259,V=064,S=0212,VL
1,3,1544,4416,V=048,S=0499,VL
1,3,1545,91,V=042,S=0528,VL
1,3,1545,5299,V=045,S=0484,VL
1,3,1545,5738,V=045,S=0509,VL
1,3,1545,5948,V=044,S=0226,VL
1,3,1546,3691,V=043,S=0501,VL
1,3,1546,4477,V=053,S=0745,VL
1,3,1546,5151,V=044,S=0530,VL
1,3,1547,945,V=050,S=0549,VL
1,3,1547,1084,V=050,S=0568,VL
1,3,1547,1794,V=039,S=0443,VL
1,3,1547,2205,V=039,S=0485,VL
1,3,1547,2239,V=039,S=0316,VL
1,3,1547,5602,V=043,S=0504,VL
1,3,1547,5781,V=044,S=0492,VL
1,3,1547,5975,V=044,S=0482,VL
1,3,1548,1931,V=047,S=0475,VL
1,3,1548,2099,V=043,S=0491,VL
