Horodatage,Voie,Vitesse (km/h),Longueur (m),Classe
03/10/2022 11:34:10,200,Sortie Fac,48,8,3,6,VL
03/10/2022 11:34:25,200,Sortie Fac,29,8,14,2,Bus
03/10/2022 11:35:03,700,Sortie Fac,47,2,3,7,VL
03/10/2022 11:35:26,100,Sortie Fac,19,9,3,9,VL
03/10/2022 11:35:29,100,Sortie Fac,19,4,3,7,VL
03/10/2022 11:35:42,300,Sortie Fac,47,2,3,9,VL
03/10/2022 11:35:53,200,Sortie Fac,38,9,2,0,Deux roues
03/10/2022 11:35:55,200,Sortie Fac,37,5,3,6,VL
03/10/2022 11:35:58,000,Entrée Fac,21,1,0,9,Deux roues
03/10/2022 11:35:58,600,Entrée Fac,29,1,2,2,Deux roues
03/10/2022 11:35:59,300,Entrée Fac,21,1,0,9,Deux roues
03/10/2022 11:36:04,600,Entrée Fac,25,6,3,7,VL
03/10/2022 11:36:08,300,Entrée Fac,27,3,3,4,VL
03/10/2022 11:36:11,800,Entrée Fac,27,4,3,1,VL
03/10/2022 11:36:18,000,Sortie Fac,32,8,15,5,Bus
03/10/2022 11:37:38,500,Sortie Fac,59,8,3,9,VL
03/10/2022 11:37:59,300,Sortie Fac,38,2,3,4,VL
03/10/2022 11:38:17,100,Entrée Fac,39,8,3,8,VL
03/10/2022 11:38:31,400,Entrée Fac,40,3,3,9,VL
03/10/2022 11:38:35,900,Entrée Fac,32,8,3,5,VL
03/10/2022 11:38:45,400,Sortie Fac,31,0,4,4,VL
03/10/2022 11:39:25,500,Entrée Fac,47,7,3,7,VL
03/10/2022 11:40:04,300,Entrée Fac,45,7,3,8,VL
03/10/2022 11:40:07,000,Sortie Fac,33,7,10,8,Bus
03/10/2022 11:41:04,400,Entrée Fac,41,0,3,4,VL
03/10/2022 11:42:00,500,Sortie Fac,32,8,4,3,VL
03/10/2022 11:42:01,400,Entrée Fac,39,6,8,9,PL
03/10/2022 11:42:07,300,Entrée Fac,34,0,17,0,Bus
03/10/2022 11:42:39,100,Entrée Fac,39,0,3,7,VL
03/10/2022 11:42:43,600,Sortie Fac,30,3,6,8,VL
03/10/2022 11:42:44,700,Sortie Fac,35,5,16,0,Bus
03/10/2022 11:42:50,100,Sortie Fac,29,3,3,5,VL
03/10/2022 11:42:54,700,Sortie Fac,27,4,3,8,VL
03/10/2022 11:43:37,000,Entrée Fac,37,4,15,8,Bus
03/10/2022 11:44:07,500,Entrée Fac,24,7,0,9,Deux roues
03/10/2022 11:44:36,200,Sortie Fac,40,6,3,7,VL
03/10/2022 11:44:38,200,Sortie Fac,40,0,4,5,VL
03/10/2022 11:44:53,100,Entrée Fac,27,4,4,1,VL
03/10/2022 11:44:55,500,Entrée Fac,33,6,3,7,VL
03/10/2022 11:45:01,300,Entrée Fac,44,5,3,7,VL
03/10/2022 11:45:46,900,Entrée Fac,44,5,3,6,VL
03/10/2022 11:45:51,800,Entrée Fac,42,6,2,6,VL
