ID,Catégorie,Horodate,détection de départ,détection de sortie,REMARQUE
1758,VL,2022/10/06 16:21:33.415,E,S2,
1759,VELO,2022/10/06 16:21:53.598,S2,E,
1760,VL,2022/10/06 16:22:27.032,E,S2,
1761,VL,2022/10/06 16:22:41.530,E,S2,
1805,VL,2022/10/06 16:23:42.966,E,S2,
1810,VL,2022/10/06 16:24:04.315,E,S2,
1829,VL,2022/10/06 16:26:24.581,E,S2,
1831,VL,2022/10/06 16:26:28.047,E,S2,
1853,VL,2022/10/06 16:27:06.932,E,S2,
1855,VL,2022/10/06 16:27:15.664,E,S2,
1856,VL,2022/10/06 16:27:27.999,E,S2,
1860,VL,2022/10/06 16:28:03.765,E,S2,
1861,VL,2022/10/06 16:28:07.234,E,S2,
1862,MOTO,2022/10/06 16:28:10.782,S1,E,
1872,VL,2022/10/06 16:28:33.949,S2,E,
1918,VL,2022/10/06 16:29:49.367,S2,E,
1940,VL,2022/10/06 16:30:04.950,E,S2,
1963,VL,2022/10/06 16:30:19.031,S2,E,
2002,VL,2022/10/06 16:31:07.396,E,S2,
2019,VL,2022/10/06 16:31:24.412,S2,E,
2134,VL,2022/10/06 16:32:31.550,S2,E,
2156,VL,2022/10/06 16:33:29.417,E,S2,
2172,VELO,2022/10/06 16:33:40.764,S2,E,
2178,MOTO,2022/10/06 16:33:42.430,S2,E,
2194,VL,2022/10/06 16:33:52.449,S2,E,
2220,VL,2022/10/06 16:34:15.384,S2,E,
2238,VL,2022/10/06 16:34:30.385,S2,E,
2250,MOTO,2022/10/06 16:34:35.731,S2,E,
2267,VL,2022/10/06 16:35:16.117,E,S2,
2327,VL,2022/10/06 16:35:48.232,S2,E,
2336,VL,2022/10/06 16:35:53.631,S2,E,
2343,VELO,2022/10/06 16:35:55.165,S2,E,
2344,MOTO,2022/10/06 16:35:55.698,S2,E,
2350,MOTO,2022/10/06 16:35:58.565,S2,E,
2394,VL,2022/10/06 16:36:25.799,S2,E,
2406,VL,2022/10/06 16:36:37.184,S2,E,
2419,MOTO,2022/10/06 16:36:45.350,E,S2,
2431,VL,2022/10/06 16:36:57.465,E,S2,
2466,VL,2022/10/06 16:37:37.066,E,S2,
2481,VELO,2022/10/06 16:38:02.998,E,S2,
2523,VL,2022/10/06 16:39:20.400,S2,E,
2528,MOTO,2022/10/06 16:39:28.215,S2,E,
2534,VL,2022/10/06 16:39:34.401,S2,E,
2540,MOTO,2022/10/06 16:39:42.051,S2,E,
2541,MOTO,2022/10/06 16:39:44.266,S2,E,
2557,MOTO,2022/10/06 16:39:55.217,S2,E,
2565,MOTO,2022/10/06 16:40:09.748,S2,E,
2568,VL,2022/10/06 16:40:35.133,S2,E,
2612,VL,2022/10/06 16:41:23.317,E,S2,
2617,VL,2022/10/06 16:41:45.850,S2,E,
2648,VL,2022/10/06 16:42:18.331,E,S2,
2667,VL,2022/10/06 16:42:38.050,S2,E,
2675,MOTO,2022/10/06 16:42:44.732,S2,E,
2680,VELO,2022/10/06 16:42:51.183,E,S2,
2684,VL,2022/10/06 16:42:59.997,S3,E,
2685,VL,2022/10/06 16:43:02.730,S1,E,
2686,VELO,2022/10/06 16:43:05.598,S2,E,
2783,VELO,2022/10/06 16:45:03.797,S2,E,
2788,VELO,2022/10/06 16:45:11.531,E,S2,
2791,VL,2022/10/06 16:45:24.665,S3,E,
2798,VL,2022/10/06 16:45:39.865,E,S2,
2800,VL,2022/10/06 16:45:41.598,S2,E,
2823,MOTO,2022/10/06 16:46:37.101,E,S2,
2831,VELO,2022/10/06 16:47:24.015,E,S2,
2834,VL,2022/10/06 16:48:03.665,E,S2,
2849,VL,2022/10/06 16:49:19.996,S3,E,
2859,VL,2022/10/06 16:49:52.450,E,S2,
2860,VELO,2022/10/06 16:49:54.865,S2,E,
2882,VL,2022/10/06 16:50:37.415,E,S2,
2890,VL,2022/10/06 16:51:54.048,S2,E,
2892,VL,2022/10/06 16:52:12.882,S2,E,
2897,VL,2022/10/06 16:52:22.983,E,S2,
2899,VL,2022/10/06 16:53:37.846,S2,E,
2902,VL,2022/10/06 16:54:16.282,S2,E,
2905,VL,2022/10/06 16:54:20.548,S2,E,
2908,VL,2022/10/06 16:54:25.280,E,S2,
2911,VL,2022/10/06 16:54:48.015,E,S2,
2912,UT,2022/10/06 16:55:05.532,S2,E,
2915,VL,2022/10/06 16:55:08.500,S2,E,
2931,VL,2022/10/06 16:56:05.049,S3,E,
2962,VELO,2022/10/06 16:57:01.430,E,S2,
2967,VL,2022/10/06 16:57:07.765,E,S2,
2972,VL,2022/10/06 16:57:12.498,S2,E,
2977,MOTO,2022/10/06 16:57:19.532,E,S2,
3018,VL,2022/10/06 16:58:25.185,S2,E,
3021,VL,2022/10/06 16:58:29.733,S2,E,
3026,VL,2022/10/06 16:59:01.432,E,S2,
3028,VL,2022/10/06 16:59:08.498,S2,E,
3067,VL,2022/10/06 17:02:53.868,E,S2,
3092,VL,2022/10/06 17:05:59.381,E,S2,
3119,MOTO,2022/10/06 17:07:54.181,S2,E,
3155,MOTO,2022/10/06 17:08:19.281,S2,E,
3165,VL,2022/10/06 17:09:10.918,E,S2,
3181,VELO,2022/10/06 17:10:07.251,S2,E,
3189,VELO,2022/10/06 17:10:11.249,S2,E,
3198,VL,2022/10/06 17:10:34.481,E,S2,
3210,VL,2022/10/06 17:10:41.947,E,S2,
3212,VELO,2022/10/06 17:11:01.663,S2,E,
3225,VELO,2022/10/06 17:12:11.249,S2,E,
3250,VL,2022/10/06 17:14:13.583,S3,E,
3252,VL,2022/10/06 17:14:15.901,S3,E,
3260,UT,2022/10/06 17:15:13.129,E,S2,
3261,VELO,2022/10/06 17:15:38.031,E,S2,
3266,VL,2022/10/06 17:16:14.851,E,S2,
3269,VL,2022/10/06 17:16:16.349,S2,E,
3271,VL,2022/10/06 17:16:35.501,E,S2,
3300,VL,2022/10/06 17:17:48.183,S3,E,
3307,VL,2022/10/06 17:19:24.318,E,S2,
3314,VL,2022/10/06 17:21:17.800,E,S2,
3319,VL,2022/10/06 17:22:20.632,S2,E,
3340,VL,2022/10/06 17:23:17.214,E,S2,
3348,VELO,2022/10/06 17:24:38.898,S2,E,
3357,VELO,2022/10/06 17:24:55.651,E,S2,
3367,VL,2022/10/06 17:26:25.452,S2,E,
3370,VELO,2022/10/06 17:27:01.249,E,S2,
3372,MOTO,2022/10/06 17:28:03.750,E,S2,
3393,MOTO,2022/10/06 17:32:59.547,S2,E,
3400,VL,2022/10/06 17:33:48.815,S2,E,
3403,VL,2022/10/06 17:33:59.280,E,S2,
3457,VL,2022/10/06 17:35:46.150,E,S2,
3466,VL,2022/10/06 17:36:20.064,E,S2,
3468,VL,2022/10/06 17:36:34.719,E,S2,
3506,VL,2022/10/06 17:38:59.780,E,S2,
3556,UT,2022/10/06 17:41:03.000,E,S2,
3587,UT,2022/10/06 17:45:04.950,S2,E,
3629,VL,2022/10/06 17:47:16.834,S2,E,
3630,VL,2022/10/06 17:47:20.367,E,S2,
3656,VL,2022/10/06 17:48:33.948,E,S2,
3658,VL,2022/10/06 17:49:02.384,S2,E,
3677,VL,2022/10/06 17:49:33.249,S3,E,
3716,VL,2022/10/06 17:53:00.148,S2,E,
3746,VL,2022/10/06 17:57:07.049,S2,E,
3756,VL,2022/10/06 17:58:09.649,E,S2,
3764,VL,2022/10/06 17:58:58.750,E,S2,
3781,VL,2022/10/06 17:59:19.399,S2,E,
3786,VL,2022/10/06 17:59:41.383,S2,E,
3802,VL,2022/10/06 18:00:29.479,S3,E,
3806,VL,2022/10/06 18:01:03.632,E,S2,
3812,VL,2022/10/06 18:01:24.049,E,S2,
3830,VL,2022/10/06 18:02:18.047,E,S2,
3851,VELO,2022/10/06 18:03:54.547,E,S2,
3852,VELO,2022/10/06 18:03:55.347,S2,E,
3860,VELO,2022/10/06 18:04:08.147,S2,E,
3868,VELO,2022/10/06 18:04:35.131,S2,E,
3893,VL,2022/10/06 18:06:28.280,S2,S1,
3895,VL,2022/10/06 18:06:33.549,E,S2,
3896,VL,2022/10/06 18:06:50.048,E,S2,
3900,VL,2022/10/06 18:07:03.229,E,S2,
3904,VL,2022/10/06 18:07:10.163,E,S2,
3917,MOTO,2022/10/06 18:07:29.630,E,S2,
3918,VL,2022/10/06 18:07:45.429,E,S2,
3925,MOTO,2022/10/06 18:08:47.580,S2,E,
3926,VL,2022/10/06 18:08:52.313,S2,E,
3927,VL,2022/10/06 18:09:11.779,E,S2,
3929,VL,2022/10/06 18:09:24.646,S2,E,
3935,VL,2022/10/06 18:09:56.197,E,S2,
3940,VL,2022/10/06 18:10:41.614,E,S2,
3941,VL,2022/10/06 18:10:59.533,E,S2,
3943,VELO,2022/10/06 18:11:43.115,S2,E,
3948,MOTO,2022/10/06 18:12:13.980,E,S2,
3950,VL,2022/10/06 18:12:48.880,E,S2,
3951,VL,2022/10/06 18:12:51.349,S2,E,
3953,VL,2022/10/06 18:12:56.746,S3,E,
3958,VL,2022/10/06 18:13:43.847,S2,E,
3959,VELO,2022/10/06 18:13:45.449,S2,E,
3964,VL,2022/10/06 18:13:53.315,E,S2,
3969,VL,2022/10/06 18:14:29.463,E,S2,
3970,VL,2022/10/06 18:14:32.998,S2,E,
3971,VL,2022/10/06 18:14:35.664,S2,E,
4009,VL,2022/10/06 18:16:36.099,E,S2,
4014,VL,2022/10/06 18:16:48.365,E,S2,
4068,VL,2022/10/06 18:18:00.799,S2,E,
4093,VL,2022/10/06 18:19:15.597,S2,E,
4100,MOTO,2022/10/06 18:19:39.450,S2,E,
4107,VL,2022/10/06 18:20:27.514,S2,E,
4119,VL,2022/10/06 18:20:54.449,S3,E,
4127,VELO,2022/10/06 18:20:59.379,S2,E,
4136,VL,2022/10/06 18:21:03.847,E,S2,
4143,VL,2022/10/06 18:21:39.047,S2,E,
4149,VL,2022/10/06 18:21:59.700,E,S2,
4153,VL,2022/10/06 18:22:39.550,E,S2,
4155,VL,2022/10/06 18:22:47.598,S2,E,
4204,MOTO,2022/10/06 18:24:00.778,S2,E,
4217,VL,2022/10/06 18:24:05.247,S2,E,
4227,VL,2022/10/06 18:24:13.246,S2,E,
4236,VL,2022/10/06 18:24:19.049,S2,E,
4246,MOTO,2022/10/06 18:24:45.897,S2,E,
4247,MOTO,2022/10/06 18:24:47.696,S2,E,
4255,MOTO,2022/10/06 18:25:19.248,S2,E,
4257,VL,2022/10/06 18:25:22.047,S2,E,
4270,VL,2022/10/06 18:26:04.581,E,S2,
4273,VL,2022/10/06 18:26:09.915,S2,E,
4274,VL,2022/10/06 18:26:12.313,S2,E,
4276,MOTO,2022/10/06 18:26:14.114,S2,E,
4281,VL,2022/10/06 18:26:31.182,S2,E,
4287,VL,2022/10/06 18:26:42.764,S2,E,
4295,VL,2022/10/06 18:27:27.332,E,S2,
4296,VL,2022/10/06 18:27:46.413,E,S2,
4297,VL,2022/10/06 18:28:00.013,E,S2,
4298,VELO,2022/10/06 18:28:14.080,E,S2,
4306,VL,2022/10/06 18:28:50.281,E,S2,
4319,VL,2022/10/06 18:30:10.581,S2,E,
4323,VL,2022/10/06 18:30:25.466,E,S2,
4324,VL,2022/10/06 18:30:28.550,S2,E,
4367,MOTO,2022/10/06 18:32:07.416,S2,E,
4375,MOTO,2022/10/06 18:32:43.181,S2,E,
4378,VL,2022/10/06 18:33:16.914,S2,E,
4400,VL,2022/10/06 18:36:31.231,E,S2,
4414,VL,2022/10/06 18:37:21.047,E,S2,
4441,VL,2022/10/06 18:38:28.469,S2,E,
4448,PL_1,2022/10/06 18:38:54.483,S2,S3,
4450,VL,2022/10/06 18:39:34.183,S2,E,
4452,VL,2022/10/06 18:39:38.665,S2,E,
4456,VL,2022/10/06 18:40:13.847,E,S2,
4459,VL,2022/10/06 18:41:13.582,E,S2,
4461,VL,2022/10/06 18:43:41.383,E,S2,
4465,VL,2022/10/06 18:44:09.181,S2,E,
4467,VL,2022/10/06 18:44:20.580,S2,E,
4473,UT,2022/10/06 18:44:47.646,S2,E,
4508,VL,2022/10/06 18:48:59.964,S3,E,
4521,VL,2022/10/06 18:51:49.263,E,S2,
4531,VL,2022/10/06 18:53:42.416,E,S2,
4553,VL,2022/10/06 18:56:07.513,S2,E,
4572,VL,2022/10/06 18:59:33.748,S2,E,
4575,VL,2022/10/06 18:59:46.899,E,S2,
4576,VL,2022/10/06 19:00:43.399,S2,E,
4577,VL,2022/10/06 19:01:04.300,E,S2,
4578,VL,2022/10/06 19:01:09.579,S2,E,
4580,VL,2022/10/06 19:01:17.583,S2,E,
4592,VL,2022/10/06 19:01:31.400,E,S2,
4593,MOTO,2022/10/06 19:02:15.118,S2,E,
4594,VL,2022/10/06 19:02:29.400,S2,E,
4597,VL,2022/10/06 19:03:03.216,E,S2,
4691,PL_1,2022/10/06 19:15:47.666,E,S2,
4702,VL,2022/10/06 19:17:26.664,E,S2,
4718,VL,2022/10/06 19:18:49.932,E,S2,
4747,VL,2022/10/06 19:21:55.035,E,S2,
4794,PL_1,2022/10/06 19:25:17.849,E,S2,
