Jour,Heure,Seconde,Centième,Vitesse,Type Véhicule,Catégorie,Inter-essieux,E2/E3,E3/E4,E4/E5,E5/E6
16/10/22,2:1,5,44,41,VL,1,242,,,,
16/10/22,2:25,30,11,51,VL,1,258,,,,
16/10/22,2:25,32,93,49,VL,1,233,,,,
16/10/22,2:27,5,16,51,VL,1,257,,,,
16/10/22,2:27,35,16,41,VL,1,255,,,,
16/10/22,2:27,39,85,42,VL,1,256,,,,
16/10/22,2:35,49,69,31,VL,1,244,,,,
16/10/22,2:39,2,99,40,Bus articul�,14,537,665,,,
16/10/22,3:0,1,1,38,VL,1,244,,,,
16/10/22,3:11,37,58,34,VL,1,245,,,,
16/10/22,3:12,22,41,43,VL,1,371,,,,
16/10/22,3:15,41,24,31,VL,1,257,,,,
16/10/22,3:15,49,62,39,Bus articul�,14,539,667,,,
16/10/22,3:27,19,1,45,VL,1,245,,,,
16/10/22,3:39,0,49,30,VL,1,244,,,,
16/10/22,3:39,11,45,55,VL,1,255,,,,
16/10/22,3:39,50,78,67,VL,1,245,,,,
16/10/22,3:42,5,77,55,VL,1,255,,,,
16/10/22,3:43,1,27,47,Bus articul�,14,544,673,,,
16/10/22,3:46,29,91,37,2RM,13,114,,,,
16/10/22,4:3,31,57,40,2RM,13,128,,,,
16/10/22,4:3,42,14,71,VL,1,258,,,,
16/10/22,4:4,14,73,41,Bus articul�,14,539,668,,,
16/10/22,4:5,15,12,51,VL,1,244,,,,
16/10/22,4:13,46,20,49,VL,1,257,,,,
16/10/22,4:15,54,95,47,VL,1,258,,,,
16/10/22,4:34,7,27,46,Bus articul�,14,542,659,,,
16/10/22,4:54,31,10,45,VL,1,270,,,,
16/10/22,4:57,50,88,49,VL,1,243,,,,
16/10/22,5:7,43,16,52,Bus articul�,14,530,660,,,
16/10/22,5:8,21,2,53,VL,1,256,,,,
16/10/22,5:22,44,29,51,Bus articul�,14,536,652,,,
16/10/22,5:27,17,83,62,VL,2,398,,,,
16/10/22,5:41,25,18,51,VL,1,255,,,,
16/10/22,5:52,15,8,33,VL,1,255,,,,
16/10/22,5:52,31,71,40,VL,1,243,,,,
16/10/22,5:53,26,40,40,Bus articul�,14,542,671,,,
16/10/22,5:56,18,38,37,VL,1,244,,,,
16/10/22,6:8,3,57,56,VL,1,257,,,,
16/10/22,6:9,9,50,62,VL,1,259,,,,
16/10/22,6:13,56,84,46,VL,1,257,,,,
16/10/22,6:13,58,17,50,VL,1,281,,,,
16/10/22,6:17,5,63,65,VL,1,258,,,,
16/10/22,6:19,10,74,45,VL,1,242,,,,
16/10/22,6:25,18,80,41,Bus articul�,14,525,666,,,
16/10/22,6:27,23,1,42,VL,1,284,,,,
16/10/22,6:27,26,1,43,VL,1,257,,,,
16/10/22,6:49,6,43,21,Trottinette,13,76,,,,
16/10/22,6:55,49,47,36,VL,1,256,,,,
16/10/22,7:18,28,44,44,VL,1,269,,,,
16/10/22,7:26,8,77,55,VL,1,272,,,,
16/10/22,7:38,45,1,56,VL,1,270,,,,
16/10/22,7:40,2,47,49,VL,1,256,,,,
16/10/22,7:45,56,23,33,VL,1,243,,,,
