ID,Catégorie,Horodate,vers sortie,vers entrée
674,UT,2022/10/10 13:05:47.100,,x
675,VL,2022/10/10 13:06:22.183,x,
687,VELO,2022/10/10 13:07:43.947,x,
691,VL,2022/10/10 13:08:52.350,,x
694,UT,2022/10/10 13:09:42.714,x,
715,VL,2022/10/10 13:11:54.997,x,
719,VL,2022/10/10 13:12:53.565,x,
723,VL,2022/10/10 13:13:08.833,x,
724,VL,2022/10/10 13:14:27.750,x,
734,VL,2022/10/10 13:15:13.550,x,
739,VL,2022/10/10 13:15:36.217,,x
743,VL,2022/10/10 13:17:16.382,,x
746,VL,2022/10/10 13:18:02.465,x,
749,VL,2022/10/10 13:18:35.066,,x
750,VL,2022/10/10 13:19:43.532,x,
751,VL,2022/10/10 13:19:57.366,x,
755,VL,2022/10/10 13:22:32.330,,x
763,VL,2022/10/10 13:23:47.000,,x
764,VL,2022/10/10 13:25:37.350,,x
765,VL,2022/10/10 13:27:39.618,,x
766,UT,2022/10/10 13:28:59.280,x,
767,UT,2022/10/10 13:30:25.484,,x
768,UT,2022/10/10 13:30:27.164,,x
769,VL,2022/10/10 13:31:07.516,x,
777,VL,2022/10/10 13:33:32.013,,x
778,VELO,2022/10/10 13:33:44.646,x,
780,VL,2022/10/10 13:34:19.750,,x
782,VELO,2022/10/10 13:37:26.884,x,
784,VL,2022/10/10 13:37:42.412,,x
786,VL,2022/10/10 13:38:07.399,,x
787,VL,2022/10/10 13:39:54.580,x,
790,VL,2022/10/10 13:39:59.582,,x
795,VL,2022/10/10 13:41:39.733,,x
809,MOTO,2022/10/10 13:42:30.681,x,
812,VL,2022/10/10 13:43:01.980,x,
813,VELO,2022/10/10 13:43:22.331,x,
815,PL_1,2022/10/10 13:43:53.633,,x
816,VL,2022/10/10 13:44:07.449,,x
822,VL,2022/10/10 13:46:00.450,,x
823,UT,2022/10/10 13:46:06.100,,x
824,VL,2022/10/10 13:46:19.049,x,
825,UT,2022/10/10 13:46:56.250,x,
827,UT,2022/10/10 13:47:17.546,x,
829,VL,2022/10/10 13:47:28.883,x,
832,VELO,2022/10/10 13:47:34.399,,x
836,VELO,2022/10/10 13:48:00.064,,x
840,VELO,2022/10/10 13:48:12.899,,x
844,VL,2022/10/10 13:50:27.085,x,
845,VL,2022/10/10 13:50:51.050,,x
859,PL_2,2022/10/10 13:52:28.598,x,
860,VL,2022/10/10 13:52:33.483,x,
861,VL,2022/10/10 13:52:37.782,,x
866,VELO,2022/10/10 13:58:16.164,x,
870,VL,2022/10/10 13:58:39.050,x,
874,VELO,2022/10/10 13:59:27.399,,x
876,VL,2022/10/10 13:59:30.730,,x
878,VL,2022/10/10 14:00:04.650,x,
882,UT,2022/10/10 14:01:29.482,x,
891,VL,2022/10/10 14:02:22.685,,x
892,UT,2022/10/10 14:03:05.502,,x
893,VL,2022/10/10 14:03:12.868,,x
894,VL,2022/10/10 14:04:18.414,,x
895,VELO,2022/10/10 14:04:36.399,,x
901,MOTO,2022/10/10 14:06:44.398,x,
914,VL,2022/10/10 14:09:51.835,,x
915,VL,2022/10/10 14:09:58.666,x,
916,VL,2022/10/10 14:12:23.098,x,
917,UT,2022/10/10 14:14:26.382,,x
920,UT,2022/10/10 14:15:34.082,x,
922,VELO,2022/10/10 14:15:39.713,,x
924,VL,2022/10/10 14:16:39.733,,x
925,VL,2022/10/10 14:18:28.831,,x
932,VL,2022/10/10 14:25:08.349,x,
933,VL,2022/10/10 14:26:18.233,x,
935,VL,2022/10/10 14:26:36.114,x,
940,VL,2022/10/10 14:27:36.565,,x
941,UT,2022/10/10 14:27:58.132,,x
942,VL,2022/10/10 14:28:21.949,,x
943,UT,2022/10/10 14:30:51.898,,x
944,VL,2022/10/10 14:31:57.947,x,
946,VL,2022/10/10 14:32:47.818,,x
956,UT,2022/10/10 14:39:26.213,x,
958,MOTO,2022/10/10 14:41:14.366,,x
960,VELO,2022/10/10 14:43:45.016,x,
978,VL,2022/10/10 14:54:42.048,x,
987,VL,2022/10/10 14:55:18.699,,x
989,VL,2022/10/10 14:55:41.998,x,
1029,VL,2022/10/10 14:57:52.765,,x
1032,VL,2022/10/10 14:59:59.347,x,
1051,VELO,2022/10/10 15:01:34.349,,x
1057,VL,2022/10/10 15:03:42.180,,x
1063,VL,2022/10/10 15:05:05.151,,x
1081,UT,2022/10/10 15:06:08.567,,x
1092,VELO,2022/10/10 15:07:05.680,x,
1094,VL,2022/10/10 15:08:12.584,,x
1095,VL,2022/10/10 15:15:29.100,x,
1097,UT,2022/10/10 15:17:12.400,,x
1099,UT,2022/10/10 15:17:55.751,x,
1100,UT,2022/10/10 15:20:19.367,x,
1102,VL,2022/10/10 15:22:32.050,x,
1103,VL,2022/10/10 15:23:34.600,x,
1104,VL,2022/10/10 15:25:52.849,x,
1105,UT,2022/10/10 15:27:04.432,x,
1107,UT,2022/10/10 15:27:11.631,x,
1109,VL,2022/10/10 15:27:46.268,x,
1111,VL,2022/10/10 15:28:07.967,x,
1113,VL,2022/10/10 15:28:13.531,,x
1114,UT,2022/10/10 15:29:21.816,x,
1117,UT,2022/10/10 15:30:13.450,x,
1119,VL,2022/10/10 15:31:00.784,x,
1124,VL,2022/10/10 15:32:38.199,x,
1125,VL,2022/10/10 15:33:21.232,x,
1126,UT,2022/10/10 15:33:25.747,x,
1129,UT,2022/10/10 15:33:55.000,x,
1131,UT,2022/10/10 15:34:12.202,,x
1132,VL,2022/10/10 15:34:29.816,x,
1133,VL,2022/10/10 15:38:12.051,x,
1134,VELO,2022/10/10 15:42:31.149,x,
1137,UT,2022/10/10 15:45:52.200,x,
1142,UT,2022/10/10 15:48:30.866,x,
1144,VL,2022/10/10 15:49:19.163,x,
1157,VELO,2022/10/10 15:50:44.566,x,
1160,VL,2022/10/10 15:54:25.533,,x
1161,VELO,2022/10/10 15:54:50.483,x,
1200,VL,2022/10/10 15:56:25.899,,x
1225,VL,2022/10/10 15:56:45.899,,x
1226,VL,2022/10/10 15:56:47.900,,x
1238,MOTO,2022/10/10 15:57:27.016,x,
1240,VL,2022/10/10 15:57:46.418,x,
1243,VL,2022/10/10 15:58:15.299,x,
1245,VL,2022/10/10 15:58:25.667,x,
1312,UT,2022/10/10 16:00:02.483,,x
1425,VL,2022/10/10 16:01:59.683,x,
1440,UT,2022/10/10 16:05:25.449,x,
1448,VL,2022/10/10 16:07:13.532,x,
1451,UT,2022/10/10 16:07:51.682,x,
1453,VL,2022/10/10 16:10:26.567,,x
1455,VL,2022/10/10 16:11:14.717,x,
1456,VL,2022/10/10 16:12:07.601,x,
1457,VL,2022/10/10 16:12:41.383,x,
1459,VL,2022/10/10 16:12:50.868,x,
1479,VL,2022/10/10 16:14:42.782,x,
1483,UT,2022/10/10 16:18:37.083,x,
1484,VL,2022/10/10 16:18:48.050,x,
1485,VL,2022/10/10 16:18:54.783,,x
1489,VL,2022/10/10 16:18:56.202,x,
1492,UT,2022/10/10 16:19:44.416,x,
1493,MOTO,2022/10/10 16:22:05.816,x,
1495,VL,2022/10/10 16:25:54.715,x,
1500,VL,2022/10/10 16:28:15.449,x,
1503,VL,2022/10/10 16:28:53.085,,x
1505,VL,2022/10/10 16:29:44.780,x,
1508,VL,2022/10/10 16:29:48.866,x,
1515,VL,2022/10/10 16:30:50.268,x,
1517,VL,2022/10/10 16:31:16.049,x,
1518,VL,2022/10/10 16:31:39.381,x,
1519,VL,2022/10/10 16:32:22.566,,x
1520,VL,2022/10/10 16:33:56.265,,x
1521,VL,2022/10/10 16:34:39.383,x,
1527,VELO,2022/10/10 16:38:19.965,,x
1533,VELO,2022/10/10 16:38:56.482,,x
1542,VL,2022/10/10 16:39:40.784,x,
1543,VL,2022/10/10 16:39:42.266,x,
1558,VELO,2022/10/10 16:41:29.965,,x
1565,VELO,2022/10/10 16:41:57.300,x,
1567,VELO,2022/10/10 16:42:14.266,x,
1573,VL,2022/10/10 16:42:50.201,x,
1574,VELO,2022/10/10 16:43:26.566,x,
1577,VELO,2022/10/10 16:43:27.450,,x
1578,VL,2022/10/10 16:43:57.600,x,
1579,EDPM,2022/10/10 16:44:20.866,x,
1580,VL,2022/10/10 16:45:11.152,x,
1581,VL,2022/10/10 16:45:58.566,x,
1585,VL,2022/10/10 16:48:07.451,x,
1586,VL,2022/10/10 16:48:09.899,x,
1587,VL,2022/10/10 16:48:32.483,x,
1593,VL,2022/10/10 16:49:33.149,,x
1598,VL,2022/10/10 16:50:56.267,x,
1599,VELO,2022/10/10 16:52:13.385,x,
1614,VELO,2022/10/10 16:54:31.683,x,
1618,VL,2022/10/10 16:56:03.749,x,
1619,UT,2022/10/10 16:56:25.233,,x
1622,VL,2022/10/10 16:57:45.749,x,
1623,VL,2022/10/10 16:59:29.816,x,
1625,VL,2022/10/10 17:01:47.082,x,
1626,VL,2022/10/10 17:02:16.564,x,
1627,VL,2022/10/10 17:02:44.266,x,
1629,EDPM,2022/10/10 17:02:50.566,x,
1634,VL,2022/10/10 17:03:04.116,x,
1635,VL,2022/10/10 17:03:15.600,x,
1637,VL,2022/10/10 17:03:36.416,x,
1638,VL,2022/10/10 17:03:58.715,x,
1640,VL,2022/10/10 17:04:14.483,x,
1641,VL,2022/10/10 17:04:29.383,x,
1643,VL,2022/10/10 17:04:32.116,x,
1648,VL,2022/10/10 17:05:00.269,x,
1659,VELO,2022/10/10 17:05:10.050,x,
1665,VL,2022/10/10 17:05:17.600,x,
1669,VL,2022/10/10 17:05:41.000,x,
1673,VELO,2022/10/10 17:06:01.383,x,
1676,VELO,2022/10/10 17:06:19.451,x,
1680,VL,2022/10/10 17:06:41.532,x,
1682,VL,2022/10/10 17:06:53.016,x,
1683,VELO,2022/10/10 17:06:55.683,x,
1688,VL,2022/10/10 17:07:09.900,x,
1689,VL,2022/10/10 17:07:13.531,x,
1692,VL,2022/10/10 17:07:17.016,x,
1693,VL,2022/10/10 17:07:18.266,x,
1694,VL,2022/10/10 17:07:24.350,,x
1695,VELO,2022/10/10 17:07:26.713,x,
1698,VL,2022/10/10 17:07:56.482,x,
1699,VELO,2022/10/10 17:08:15.816,x,
1700,VL,2022/10/10 17:08:20.416,x,
1702,VL,2022/10/10 17:08:22.632,x,
1703,VL,2022/10/10 17:08:35.084,x,
1704,VL,2022/10/10 17:09:32.346,x,
1706,VL,2022/10/10 17:09:47.599,x,
1707,VL,2022/10/10 17:09:52.633,x,
1708,VELO,2022/10/10 17:10:17.902,x,
1715,VL,2022/10/10 17:11:09.533,x,
1737,VL,2022/10/10 17:12:08.336,x,
1741,VL,2022/10/10 17:12:12.569,x,
1745,VELO,2022/10/10 17:12:30.932,x,
1748,VL,2022/10/10 17:12:36.417,x,
1750,VL,2022/10/10 17:13:17.533,x,
1754,VELO,2022/10/10 17:13:50.567,x,
1757,VELO,2022/10/10 17:15:21.534,x,
1764,VELO,2022/10/10 17:16:11.383,x,
1765,VL,2022/10/10 17:16:32.050,x,
1767,VELO,2022/10/10 17:16:44.199,,x
1771,VL,2022/10/10 17:17:00.486,x,
1772,VL,2022/10/10 17:17:07.232,x,
