Jour,Heure,Seconde,Centième,Vitesse,Type Véhicules,Catégorie,Inter-essieux,E2/E3,E3/E4,E4/E5,E5/E6
17/10/22,15:59,51,37,69,VL,1,294,,,,
17/10/22,16:1,22,3,56,VL,1,231,,,,
17/10/22,16:1,35,6,52,VL,1,268,,,,
17/10/22,16:1,39,61,50,2RM,13,153,,,,
17/10/22,16:1,51,5,46,VL,1,258,,,,
17/10/22,16:1,53,6,47,VL,1,256,,,,
17/10/22,16:2,25,24,42,VL,1,269,,,,
17/10/22,16:2,34,29,52,VL,1,268,,,,
17/10/22,16:2,50,19,41,VL,1,256,,,,
17/10/22,16:2,53,34,46,VL,1,232,,,,
17/10/22,16:3,22,69,44,VL,1,191,,,,
17/10/22,16:3,28,17,49,VL,1,257,,,,
17/10/22,16:3,54,26,49,VL,1,231,,,,
17/10/22,16:4,4,16,42,VL,1,243,,,,
17/10/22,16:4,6,28,41,VL,1,257,,,,
17/10/22,16:4,26,53,49,VL,1,269,,,,
17/10/22,16:4,27,60,51,VL,1,284,,,,
17/10/22,16:6,7,22,48,VL,1,256,,,,
17/10/22,16:6,45,6,52,VL,1,255,,,,
17/10/22,16:7,0,23,46,VL,1,268,,,,
17/10/22,16:7,12,8,38,VL,1,244,,,,
17/10/22,16:7,15,8,40,VL,1,231,,,,
17/10/22,16:7,48,57,43,VL,1,271,,,,
17/10/22,16:7,50,34,56,VL,1,282,,,,
17/10/22,16:8,18,82,67,VL,1,273,,,,
17/10/22,16:9,28,57,46,VL,1,257,,,,
17/10/22,16:9,30,86,45,VL,1,257,,,,
17/10/22,16:9,36,54,38,VL,1,296,,,,
17/10/22,16:9,39,39,40,VL,1,271,,,,
17/10/22,16:9,41,92,43,VL,1,256,,,,
17/10/22,16:9,43,24,44,VL,1,270,,,,
17/10/22,16:9,45,69,46,VL,1,269,,,,
17/10/22,16:10,15,32,45,VL,1,270,,,,
17/10/22,16:10,25,41,50,VL,1,255,,,,
17/10/22,16:10,37,83,60,VL,1,256,,,,
17/10/22,16:10,42,50,58,VL,1,258,,,,
17/10/22,16:10,47,3,46,VL,1,270,,,,
17/10/22,16:10,54,24,56,VL,1,284,,,,
17/10/22,16:11,41,25,58,VL,1,259,,,,
17/10/22,16:11,54,23,47,VL,1,335,,,,
17/10/22,16:11,57,12,58,VL,1,270,,,,
17/10/22,16:12,0,8,56,VL,1,256,,,,
17/10/22,16:13,10,88,36,VL,1,269,,,,
17/10/22,16:13,41,4,41,VL,1,270,,,,
